Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
E. Ancheta,Nacional,RB,26,0,2027-12-31,27,2148,1,0.45,Uruguay,Uruguay,right,179,68,no
L. Rodríguez,Nacional,"RCMF, LCMF, DMF",32,475000,,28,2147,0,0.71,Uruguay,Uruguay,right,170,62,no
A. García,Progreso,"RCMF, LCMF",25,0,2025-12-31,29,2133,0,2.07,Uruguay,Uruguay,unknown,0,0,no
M. Añasco,Cerro Largo,"LW, LAMF, RW",24,0,2026-07-31,34,2123,4,2.46,Uruguay,Uruguay,left,174,67,no
F. Cerro,Wanderers,"LCMF, DMF, RCMF",37,100000,,29,2120,0,0.34,Argentina,Argentina,right,179,71,no
E. Castillo,Liverpool,"LCB, LB",24,550000,2025-12-31,29,2118,0,0.42,Uruguay,Uruguay,left,171,65,no
F. Tinaglini,Panserraikos,GK,26,300000,2027-06-30,21,2090,0,0,Uruguay,Uruguay,left,190,78,no
F. Píriz,Plaza Colonia,"LCMF, DMF, LDMF",35,125000,,30,2086,0,0.58,Uruguay,"Uruguay, Italy",right,187,81,no
L. Villalba,Nacional,"RW, RAMF",24,0,2028-07-31,36,2079,4,6.42,Uruguay,"Uruguay, Italy",right,182,0,no
S. Rodríguez,Universidad de Chile,"LCMF, LDMF, AMF",33,1200000,2025-12-31,21,2076,5,4.63,Uruguay,"Uruguay, Spain",right,181,79,no
F. Rossi,Cerro Largo,CF,23,0,2026-12-31,31,2073,10,9.22,Uruguay,Uruguay,unknown,179,0,no
M. Amaro,Defensor Sporting,"RCMF, LCMF, RDMF",20,0,2028-12-31,31,2064,0,1.53,Uruguay,Uruguay,,0,0,no
M. Silveira,Junior,GK,25,1000000,2026-07-31,21,2063,0,0,Uruguay,Uruguay,right,187,89,no
T. Espinosa,Racing,"LWB, LB",21,0,2026-12-31,27,2045,3,2.19,Uruguay,Uruguay,left,162,57,no
E. Agüero,Torque,"RCB, RB",21,0,2027-12-31,26,2030,0,1.24,Uruguay,Uruguay,unknown,187,73,no
L. Femia,Danubio,"LW, RW, LAMF",23,0,2025-12-31,34,2015,2,4.15,Uruguay,Uruguay,right,173,0,no
S. Figueredo,Leganés,"RWB, RB",24,0,2028-06-30,21,2001,0,1.39,Uruguay,Uruguay,right,180,71,no
L. Agazzi,Defensor Sporting,"RW, RB, RAMF",20,0,2026-12-31,25,2001,5,4.11,Uruguay,"Uruguay, Italy",right,180,76,no
D. Olivera,Miramar Misiones,"RW, RDMF, RWF",26,200000,,26,1990,6,2.76,Uruguay,Uruguay,right,186,76,no
M. Peralta,Danubio,"LCMF, CF",19,0,2025-12-31,31,1989,2,1.92,Uruguay,Uruguay,right,174,66,no
J. Quintana,River Plate,"RB, RW",25,350000,,27,1980,1,0.61,Uruguay,Uruguay,right,176,73,no
H. Quintana,Olimpia,"RCMF, LCMF",24,0,,22,1978,6,3.35,Paraguay,Paraguay,right,175,70,no
L. Correa,Cerro Largo,"RB, RDMF, DMF",29,350000,,26,1972,1,0.92,Uruguay,"Uruguay, Italy",right,180,76,no
M. Gianoli,Cerro Largo,LCB,25,0,2025-12-31,23,1946,0,1.15,Uruguay,Uruguay,left,197,84,yes
E. Álvarez,Unión Santa Fe,"RB, RW",24,0,2026-06-30,21,1943,2,0.81,Uruguay,Uruguay,right,175,0,no
I. Yepez,Miramar Misiones,"CF, LW, LAMF",27,450000,2025-12-31,27,1933,0,3.25,Colombia,Colombia,,0,0,no
M. Rodríguez,Unión Santa Fe,LCB,22,0,2028-12-31,20,1933,3,1.39,Uruguay,Uruguay,,0,0,no
R. Brazionis,Racing,"CB, RCB",23,0,2027-12-31,21,1931,0,2.38,Uruguay,Uruguay,right,185,71,no
P. Pacífico,Defensor Sporting,"LB, LCB",19,0,2028-12-31,24,1919,2,1.73,Uruguay,"Uruguay, Italy",left,187,0,no
A. Miranda,Cerro,"LCMF, RCMF, LDMF",32,200000,,33,1917,1,1.22,Uruguay,Uruguay,right,178,74,no
B. Barcia,Boston River,"RAMF, RW, RWF",24,800000,,29,1915,2,1.04,Uruguay,Uruguay,right,182,76,yes
B. Tomatis,Racing,"CF, RWF, LWF",21,10000,,29,1902,4,4.47,Argentina,Argentina,right,177,65,yes
E. Jourdan,River Plate,"LCMF, LDMF, DMF",21,0,2026-12-31,28,1900,0,0.19,Uruguay,Uruguay,unknown,178,63,no
M. Gómez,Boston River,"RCB, LCB",20,0,2025-12-31,23,1898,1,0.54,Uruguay,Uruguay,right,191,0,no
M. Rivero,Boston River,"LCB, RCB",21,0,2028-12-31,20,1883,1,1.52,Uruguay,Uruguay,,0,0,no
G. Bortagaray,Boston River,LCB,25,175000,,19,1862,1,0.75,Uruguay,"Uruguay, Italy",left,184,75,no
E. Crespo,River Plate,RCB,29,250000,,23,1845,0,0.47,Uruguay,Uruguay,right,187,86,no
S. Costa,Torque,"LAMF, LCMF, LW",25,0,2025-12-31,31,1844,0,2.11,Uruguay,Uruguay,left,180,74,no
C. Barros,Plaza Colonia,"LW, CF",25,300000,,33,1842,3,3.55,Uruguay,Uruguay,right,168,62,no
N. Ramos,Unión Magdalena,"RCB, CB",26,200000,,19,1837,0,0.49,Uruguay,Uruguay,right,184,82,no
S. Otegui,Plaza Colonia,"LB, LW",22,0,,23,1828,1,0.94,Uruguay,Uruguay,,0,0,no
I. López,River Plate,CF,20,0,,30,1821,4,4.86,Italy,"Italy, Uruguay",,0,0,no
E. Cuello,Cerro,"LW, LB, LAMF",31,250000,,29,1818,2,1.64,Uruguay,Uruguay,left,182,72,no
E. García,Wanderers,"CB, RCB",35,200000,,20,1810,0,0.22,Uruguay,"Uruguay, Spain",right,186,84,no
M. Alfonso,River Plate,"LCMF, RCMF, LDMF",25,0,2025-12-31,26,1806,0,0.05,Uruguay,Uruguay,left,172,76,no
R. Rabino,Danubio,LB,27,350000,,23,1804,0,0.42,Uruguay,Uruguay,left,176,65,no
D. Guzmán,Torque,"LCMF, RAMF, RW",19,0,,33,1798,4,1.74,Argentina,Argentina,,176,0,no
G. Barrios,Defensor Sporting,"RCMF, LCMF",21,0,2025-12-31,24,1785,1,1.2,Uruguay,Uruguay,right,182,0,no
J. Moreno,Miramar Misiones,GK,26,0,,18,1777,0,0,Colombia,Colombia,right,194,92,no
D. García,Peñarol,"LAMF, LW",28,1000000,,35,1771,4,3.42,Uruguay,Uruguay,right,170,67,no
C. Ebere,Nacional,CF,27,1300000,2026-12-31,30,1734,2,3.32,Nigeria,Nigeria,right,180,69,no
A. Albarracín,Boston River,"AMF, LCMF",20,0,2027-12-31,28,1699,9,5.71,Uruguay,Uruguay,left,174,0,no
M. Campaña,Peñarol,GK,36,400000,,17,1695,0,0,Uruguay,"Uruguay, Italy",right,185,75,no
M. González,Boston River,RCB,31,200000,,19,1695,1,0.96,Uruguay,Uruguay,right,186,76,no
